DÍA 1;;;;;;DÍA 2;;;;;;DÍA 3;;;;;;DÍA 4;;;;;
Medición 1;;;Medición 2;;;Medición 3;;;Medición 4;;;Medición 5;;;Medición 6;;;Medición 7;;;Medición 8;;
=== REGISTRO ===;;;=== REGISTRO ===;;;=== REGISTRO ===;;;=== REGISTRO ===;;;=== REGISTRO ===;;;=== REGISTRO ===;;;=== REGISTRO ===;;;=== REGISTRO ===;;
AO;Humedad%;Estado;AO;Humedad%;Estado;AO;Humedad%;Estado;AO;Humedad%;Estado;AO;Humedad%;Estado;AO;Humedad%;Estado;AO;Humedad%;Estado;AO;Humedad%;Estado
310;65.39;MEDIO;308;65.97;MEDIO;256;81.03;OPTIMO;268;77.56;MEDIO;330;59.60;SECO;325;61.05;SECO;341;56.42;SECO;222;90.88;EXCESO
310;65.39;MEDIO;308;65.97;MEDIO;258;80.45;OPTIMO;269;77.27;MEDIO;331;59.31;SECO;326;60.76;SECO;341;56.42;SECO;223;90.59;EXCESO
310;65.39;MEDIO;309;65.68;MEDIO;259;80.16;OPTIMO;269;77.27;MEDIO;331;59.31;SECO;326;60.76;SECO;342;56.13;SECO;223;90.59;EXCESO
310;65.39;MEDIO;309;65.68;MEDIO;259;80.16;OPTIMO;269;77.27;MEDIO;331;59.31;SECO;327;60.47;SECO;342;56.13;SECO;223;90.59;EXCESO
310;65.39;MEDIO;309;65.68;MEDIO;259;80.16;OPTIMO;270;76.98;MEDIO;331;59.31;SECO;328;60.18;SECO;342;56.13;SECO;222;90.88;EXCESO
310;65.39;MEDIO;309;65.68;MEDIO;258;80.45;OPTIMO;270;76.98;MEDIO;331;59.31;SECO;328;60.18;SECO;342;56.13;SECO;222;90.88;EXCESO
310;65.39;MEDIO;309;65.68;MEDIO;258;80.45;OPTIMO;270;76.98;MEDIO;331;59.31;SECO;328;60.18;SECO;342;56.13;SECO;223;90.59;EXCESO
310;65.39;MEDIO;309;65.68;MEDIO;260;79.87;MEDIO;271;76.69;MEDIO;331;59.31;SECO;328;60.18;SECO;343;55.84;SECO;222;90.88;EXCESO
310;65.39;MEDIO;310;65.39;MEDIO;263;79.01;MEDIO;271;76.69;MEDIO;331;59.31;SECO;328;60.18;SECO;343;55.84;SECO;221;91.17;EXCESO
310;65.39;MEDIO;309;65.68;MEDIO;264;78.72;MEDIO;271;76.69;MEDIO;331;59.31;SECO;329;59.89;SECO;343;55.84;SECO;222;90.88;EXCESO
